,model,metric,mean,std,min,max
0,LASSO Logistic Regression,ROC-AUC,0.9436069757733166,0.002202393599296862,0.9410118191510171,0.9466904757698453
1,LASSO Logistic Regression,F1,0.43837717675273835,0.005576979861537209,0.4317103126476204,0.447577539363988
2,LASSO Logistic Regression,Precision,0.6409780409297803,0.0023769416018767308,0.6381120966616665,0.6448167153351575
3,LASSO Logistic Regression,Recall,0.8721735612088789,0.0037936681339586337,0.8682668962420541,0.8778760067864453
4,LASSO Logistic Regression,Specificity,0.8505619892477325,0.0016095359998715229,0.8485575895003635,0.8531228775689076
5,LASSO Logistic Regression,Negative Predictive Value,0.9915245524967927,0.0006783364988850705,0.9906593276623693,0.9922878142799492
6,LASSO Logistic Regression,Accuracy,0.8533271367489539,0.0014473140199751182,0.8513769886657705,0.8550776833290252
7,Ridge Logistic Regression,ROC-AUC,0.9434645252389069,0.002102283408432767,0.9410257434654625,0.946511134982098
8,Ridge Logistic Regression,F1,0.43880992112975,0.0051825068736630255,0.4325705523919471,0.4470513615164056
9,Ridge Logistic Regression,Precision,0.6411697103707873,0.002217273494531032,0.6384808714697271,0.644599210565276
10,Ridge Logistic Regression,Recall,0.8723010675405494,0.003566856538294975,0.868624109584726,0.8772986853184738
11,Ridge Logistic Regression,Specificity,0.8508450716931462,0.0016459846820876965,0.8489606367306902,0.8536964781877344
12,Ridge Logistic Regression,Negative Predictive Value,0.9915247024338705,0.0006656729882710044,0.9906767149156457,0.9923155051841208
13,Ridge Logistic Regression,Accuracy,0.8535899477147696,0.0014077061487953243,0.8517938927580435,0.85562335245206
14,Decision Tree,ROC-AUC,0.7072814282654961,0.002563065152632673,0.7043705556568238,0.7118396471513287
15,Decision Tree,F1,0.44567003493953755,0.004959981701243652,0.4387621670481548,0.45180030695324697
16,Decision Tree,Precision,0.7002256361390238,0.004168389230019765,0.6931042615423633,0.7055273683407399
17,Decision Tree,Recall,0.7069673733845402,0.0026397908843165795,0.7039230534376308,0.7116458357896746
18,Decision Tree,Specificity,0.9601260296556916,0.0012160932207028394,0.9580932648558103,0.9616119125715317
19,Decision Tree,Negative Predictive Value,0.9625238459974039,0.0008952444952413802,0.9615930685157988,0.9639795859231165
20,Decision Tree,Accuracy,0.9276914565809568,0.0013524161872816355,0.9263331114802568,0.9297674412295126
21,XGBoost,ROC-AUC,0.9505953282383238,0.0018405844950420231,0.9483984857818757,0.9528443590920846
22,XGBoost,F1,0.45803113272496326,0.0072183584035272015,0.45115151487875466,0.4708985536571409
23,XGBoost,Precision,0.6497760765363156,0.003150280953521336,0.6466528922629897,0.6553054009059356
24,XGBoost,Recall,0.8784522158873456,0.004064412885939798,0.8734959062458874,0.885640006543273
25,XGBoost,Specificity,0.8623471049054376,0.0019584632469509386,0.8593922416433595,0.8649511074266348
26,XGBoost,Negative Predictive Value,0.9917015716357097,0.0006363480580590113,0.9907419744923992,0.9925291725064977
27,XGBoost,Accuracy,0.8644084624464655,0.0019385856385297955,0.8618556210937385,0.8676401411807908
